Selected GPU: 4
Using device: cuda:4
ACC ON: 3317977
ACC OFF: 5747608
Epoch 120/200 | Loss: 0.3346 | Acc: 0.7529 | Prec: 0.6112 | Recall: 0.8927 | F1: 0.7256
Epoch 121/200 | Loss: 0.3345 | Acc: 0.7417 | Prec: 0.5979 | Recall: 0.8974 | F1: 0.7177
Epoch 122/200 | Loss: 0.3346 | Acc: 0.7532 | Prec: 0.6113 | Recall: 0.8935 | F1: 0.7260
Epoch 123/200 | Loss: 0.3342 | Acc: 0.7460 | Prec: 0.6028 | Recall: 0.8965 | F1: 0.7209
Epoch 124/200 | Loss: 0.3342 | Acc: 0.7514 | Prec: 0.6090 | Recall: 0.8955 | F1: 0.7250
Epoch 125/200 | Loss: 0.3342 | Acc: 0.7477 | Prec: 0.6046 | Recall: 0.8974 | F1: 0.7225
Epoch 126/200 | Loss: 0.3342 | Acc: 0.7485 | Prec: 0.6054 | Recall: 0.8976 | F1: 0.7231
Epoch 127/200 | Loss: 0.3342 | Acc: 0.7526 | Prec: 0.6106 | Recall: 0.8943 | F1: 0.7257
Epoch 128/200 | Loss: 0.3343 | Acc: 0.7515 | Prec: 0.6090 | Recall: 0.8960 | F1: 0.7252
Epoch 129/200 | Loss: 0.3342 | Acc: 0.7458 | Prec: 0.6023 | Recall: 0.8987 | F1: 0.7212
Epoch 130/200 | Loss: 0.3342 | Acc: 0.7508 | Prec: 0.6083 | Recall: 0.8959 | F1: 0.7246
Epoch 131/200 | Loss: 0.3342 | Acc: 0.7507 | Prec: 0.6081 | Recall: 0.8962 | F1: 0.7246
Epoch 132/200 | Loss: 0.3341 | Acc: 0.7525 | Prec: 0.6104 | Recall: 0.8946 | F1: 0.7256
Epoch 133/200 | Loss: 0.3341 | Acc: 0.7529 | Prec: 0.6109 | Recall: 0.8941 | F1: 0.7258
Epoch 134/200 | Loss: 0.3342 | Acc: 0.7498 | Prec: 0.6069 | Recall: 0.8970 | F1: 0.7240
Epoch 135/200 | Loss: 0.3342 | Acc: 0.7537 | Prec: 0.6122 | Recall: 0.8915 | F1: 0.7259
Epoch 136/200 | Loss: 0.3341 | Acc: 0.7516 | Prec: 0.6093 | Recall: 0.8950 | F1: 0.7250
Epoch 137/200 | Loss: 0.3341 | Acc: 0.7522 | Prec: 0.6100 | Recall: 0.8947 | F1: 0.7254
Epoch 138/200 | Loss: 0.3342 | Acc: 0.7471 | Prec: 0.6038 | Recall: 0.8981 | F1: 0.7221
Epoch 139/200 | Loss: 0.3340 | Acc: 0.7473 | Prec: 0.6040 | Recall: 0.8983 | F1: 0.7223
Epoch 140/200 | Loss: 0.3340 | Acc: 0.7503 | Prec: 0.6075 | Recall: 0.8973 | F1: 0.7245
Epoch 141/200 | Loss: 0.3340 | Acc: 0.7513 | Prec: 0.6089 | Recall: 0.8958 | F1: 0.7250
Epoch 142/200 | Loss: 0.3340 | Acc: 0.7532 | Prec: 0.6113 | Recall: 0.8937 | F1: 0.7260
Epoch 143/200 | Loss: 0.3340 | Acc: 0.7519 | Prec: 0.6096 | Recall: 0.8952 | F1: 0.7253
